Name,Version,Description
i,2.1,'I' (Base Integer Instruction Set)
e,2.0,"Implements RV{32,64}E (provides 16 rather than 32 GPRs)"
m,2.0,'M' (Integer Multiplication and Division)
a,2.1,'A' (Atomic Instructions)
f,2.2,'F' (Single-Precision Floating-Point)
d,2.2,'D' (Double-Precision Floating-Point)
c,2.0,'C' (Compressed Instructions)
v,1.0,'V' (Vector Extension for Application Processors)
h,1.0,'H' (Hypervisor)
zic64b,1.0,'Zic64b' (Cache Block Size Is 64 Bytes)
zicbom,1.0,'Zicbom' (Cache-Block Management Instructions)
zicbop,1.0,'Zicbop' (Cache-Block Prefetch Instructions)
zicboz,1.0,'Zicboz' (Cache-Block Zero Instructions)
ziccamoa,1.0,'Ziccamoa' (Main Memory Supports All Atomics in A)
ziccif,1.0,'Ziccif' (Main Memory Supports Instruction Fetch with Atomicity Requirement)
zicclsm,1.0,'Zicclsm' (Main Memory Supports Misaligned Loads/Stores)
ziccrse,1.0,'Ziccrse' (Main Memory Supports Forward Progress on LR/SC Sequences)
zicntr,2.0,'Zicntr' (Base Counters and Timers)
zicond,1.0,'Zicond' (Integer Conditional Operations)
zicsr,2.0,'zicsr' (CSRs)
zifencei,2.0,'Zifencei' (fence.i)
zihintntl,1.0,'Zihintntl' (Non-Temporal Locality Hints)
zihintpause,2.0,'Zihintpause' (Pause Hint)
zihpm,2.0,'Zihpm' (Hardware Performance Counters)
zimop,1.0,'Zimop' (May-Be-Operations)
zmmul,1.0,'Zmmul' (Integer Multiplication)
za128rs,1.0,'Za128rs' (Reservation Set Size of at Most 128 Bytes)
za64rs,1.0,'Za64rs' (Reservation Set Size of at Most 64 Bytes)
zama16b,1.0,"'Zama16b' (Atomic 16-byte misaligned loads, stores and AMOs)"
zawrs,1.0,'Zawrs' (Wait on Reservation Set)
zfa,1.0,'Zfa' (Additional Floating-Point)
zfh,1.0,'Zfh' (Half-Precision Floating-Point)
zfhmin,1.0,'Zfhmin' (Half-Precision Floating-Point Minimal)
zfinx,1.0,'Zfinx' (Float in Integer)
zdinx,1.0,'Zdinx' (Double in Integer)
zca,1.0,"'Zca' (part of the C extension, excluding compressed floating point loads/stores)"
zcb,1.0,'Zcb' (Compressed basic bit manipulation instructions)
zcd,1.0,'Zcd' (Compressed Double-Precision Floating-Point Instructions)
zce,1.0,'Zce' (Compressed extensions for microcontrollers)
zcf,1.0,'Zcf' (Compressed Single-Precision Floating-Point Instructions)
zcmop,1.0,'Zcmop' (Compressed May-Be-Operations)
zcmp,1.0,'Zcmp' (sequenced instuctions for code-size reduction)
