All available -march extensions for RISC-V

    Name                 Version   Description
    i                    2.1       'I' (Base Integer Instruction Set)
    e                    2.0       'E' (Embedded Instruction Set with 16 GPRs)
    m                    2.0       'M' (Integer Multiplication and Division)
    a                    2.1       'A' (Atomic Instructions)
    f                    2.2       'F' (Single-Precision Floating-Point)
    d                    2.2       'D' (Double-Precision Floating-Point)
    c                    2.0       'C' (Compressed Instructions)
    b                    1.0       'B' (the collection of the Zba, Zbb, Zbs extensions)
    v                    1.0       'V' (Vector Extension for Application Processors)
    h                    1.0       'H' (Hypervisor)
    zic64b               1.0       'Zic64b' (Cache Block Size Is 64 Bytes)
    zicbom               1.0       'Zicbom' (Cache-Block Management Instructions)
    zicbop               1.0       'Zicbop' (Cache-Block Prefetch Instructions)
    zicboz               1.0       'Zicboz' (Cache-Block Zero Instructions)
    ziccamoa             1.0       'Ziccamoa' (Main Memory Supports All Atomics in A)
    ziccif               1.0       'Ziccif' (Main Memory Supports Instruction Fetch with Atomicity Requirement)
    zicclsm              1.0       'Zicclsm' (Main Memory Supports Misaligned Loads/Stores)
    ziccrse              1.0       'Ziccrse' (Main Memory Supports Forward Progress on LR/SC Sequences)
    zicntr               2.0       'Zicntr' (Base Counters and Timers)
    zicond               1.0       'Zicond' (Integer Conditional Operations)
    zicsr                2.0       'Zicsr' (CSRs)
    zifencei             2.0       'Zifencei' (fence.i)
    zihintntl            1.0       'Zihintntl' (Non-Temporal Locality Hints)
    zihintpause          2.0       'Zihintpause' (Pause Hint)
    zihpm                2.0       'Zihpm' (Hardware Performance Counters)
    zimop                1.0       'Zimop' (May-Be-Operations)
    zmmul                1.0       'Zmmul' (Integer Multiplication)
    za128rs              1.0       'Za128rs' (Reservation Set Size of at Most 128 Bytes)
    za64rs               1.0       'Za64rs' (Reservation Set Size of at Most 64 Bytes)
    zaamo                1.0       'Zaamo' (Atomic Memory Operations)
    zabha                1.0       'Zabha' (Byte and Halfword Atomic Memory Operations)
    zacas                1.0       'Zacas' (Atomic Compare-And-Swap Instructions)
    zalrsc               1.0       'Zalrsc' (Load-Reserved/Store-Conditional)
    zama16b              1.0       'Zama16b' (Atomic 16-byte misaligned loads, stores and AMOs)
    zawrs                1.0       'Zawrs' (Wait on Reservation Set)
    zfa                  1.0       'Zfa' (Additional Floating-Point)
    zfbfmin              1.0       'Zfbfmin' (Scalar BF16 Converts)
    zfh                  1.0       'Zfh' (Half-Precision Floating-Point)
    zfhmin               1.0       'Zfhmin' (Half-Precision Floating-Point Minimal)
    zfinx                1.0       'Zfinx' (Float in Integer)
    zdinx                1.0       'Zdinx' (Double in Integer)
    zca                  1.0       'Zca' (part of the C extension, excluding compressed floating point loads/stores)
    zcb                  1.0       'Zcb' (Compressed basic bit manipulation instructions)
    zcd                  1.0       'Zcd' (Compressed Double-Precision Floating-Point Instructions)
    zce                  1.0       'Zce' (Compressed extensions for microcontrollers)
    zcf                  1.0       'Zcf' (Compressed Single-Precision Floating-Point Instructions)
    zcmop                1.0       'Zcmop' (Compressed May-Be-Operations)
    zcmp                 1.0       'Zcmp' (sequenced instructions for code-size reduction)
    zcmt                 1.0       'Zcmt' (table jump instructions for code-size reduction)
    zba                  1.0       'Zba' (Address Generation Instructions)
    zbb                  1.0       'Zbb' (Basic Bit-Manipulation)
    zbc                  1.0       'Zbc' (Carry-Less Multiplication)
    zbkb                 1.0       'Zbkb' (Bitmanip instructions for Cryptography)
    zbkc                 1.0       'Zbkc' (Carry-less multiply instructions for Cryptography)
    zbkx                 1.0       'Zbkx' (Crossbar permutation instructions)
    zbs                  1.0       'Zbs' (Single-Bit Instructions)
    zk                   1.0       'Zk' (Standard scalar cryptography extension)
    zkn                  1.0       'Zkn' (NIST Algorithm Suite)
    zknd                 1.0       'Zknd' (NIST Suite: AES Decryption)
    zkne                 1.0       'Zkne' (NIST Suite: AES Encryption)
    zknh                 1.0       'Zknh' (NIST Suite: Hash Function Instructions)
    zkr                  1.0       'Zkr' (Entropy Source Extension)
    zks                  1.0       'Zks' (ShangMi Algorithm Suite)
    zksed                1.0       'Zksed' (ShangMi Suite: SM4 Block Cipher Instructions)
    zksh                 1.0       'Zksh' (ShangMi Suite: SM3 Hash Function Instructions)
    zkt                  1.0       'Zkt' (Data Independent Execution Latency)
    ztso                 1.0       'Ztso' (Memory Model - Total Store Order)
    zvbb                 1.0       'Zvbb' (Vector basic bit-manipulation instructions)
    zvbc                 1.0       'Zvbc' (Vector Carryless Multiplication)
    zve32f               1.0       'Zve32f' (Vector Extensions for Embedded Processors with maximal 32 EEW and F extension)
    zve32x               1.0       'Zve32x' (Vector Extensions for Embedded Processors with maximal 32 EEW)
    zve64d               1.0       'Zve64d' (Vector Extensions for Embedded Processors with maximal 64 EEW, F and D extension)
    zve64f               1.0       'Zve64f' (Vector Extensions for Embedded Processors with maximal 64 EEW and F extension)
    zve64x               1.0       'Zve64x' (Vector Extensions for Embedded Processors with maximal 64 EEW)
    zvfbfmin             1.0       'Zvfbfmin' (Vector BF16 Converts)
    zvfbfwma             1.0       'Zvfbfwma' (Vector BF16 widening mul-add)
    zvfh                 1.0       'Zvfh' (Vector Half-Precision Floating-Point)
    zvfhmin              1.0       'Zvfhmin' (Vector Half-Precision Floating-Point Minimal)
    zvkb                 1.0       'Zvkb' (Vector Bit-manipulation used in Cryptography)
    zvkb                 0.1       'Zvkb' (Vector Bit-manipulation used in Cryptography)
    zvkg                 1.0       'Zvkg' (Vector GCM instructions for Cryptography)
    zvkg                 0.1       'Zvkg' (Vector GCM instructions for Cryptography)
    zvkn                 1.0       'Zvkn' (shorthand for 'Zvkned', 'Zvknhb', 'Zvkb', and 'Zvkt')
    zvknc                1.0       'Zvknc' (shorthand for 'Zvknc' and 'Zvbc')
    zvkned               1.0       'Zvkned' (Vector AES Encryption & Decryption (Single Round))
    zvkng                1.0       'Zvkng' (shorthand for 'Zvkn' and 'Zvkg')
    zvknha               1.0       'Zvknha' (Vector SHA-2 (SHA-256 only))
    zvknha               0.1       'Zvknha' (Vector SHA-2 (SHA-256 only))
    zvknhb               1.0       'Zvknhb' (Vector SHA-2 (SHA-256 and SHA-512))
    zvknhb               0.1       'Zvknhb' (Vector SHA-2 (SHA-256 and SHA-512))
    zvkns                0.1       'Zvkns' (Vector AES Encryption & Decryption (Single Round))
    zvks                 1.0       'Zvks' (shorthand for 'Zvksed', 'Zvksh', 'Zvkb', and 'Zvkt')
    zvksc                1.0       'Zvksc' (shorthand for 'Zvks' and 'Zvbc')
    zvksed               1.0       'Zvksed' (SM4 Block Cipher Instructions)
    zvksed               0.1       'Zvksed' (SM4 Block Cipher Instructions)
    zvksg                1.0       'Zvksg' (shorthand for 'Zvks' and 'Zvkg')
    zvksh                1.0       'Zvksh' (SM3 Hash Function Instructions)
    zvksh                0.1       'Zvksh' (SM3 Hash Function Instructions)
    zvkt                 1.0       'Zvkt' (Vector Data-Independent Execution Latency)
    zvl1024b             1.0       'Zvl1024b' (Minimum Vector Length 1024)
    zvl128b              1.0       'Zvl128b' (Minimum Vector Length 128)
    zvl16384b            1.0       'Zvl16384b' (Minimum Vector Length 16384)
    zvl2048b             1.0       'Zvl2048b' (Minimum Vector Length 2048)
    zvl256b              1.0       'Zvl256b' (Minimum Vector Length 256)
    zvl32768b            1.0       'Zvl32768b' (Minimum Vector Length 32768)
    zvl32b               1.0       'Zvl32b' (Minimum Vector Length 32)
